date,count,group
2011-02-15,11,b
2011-02-16,5,b
2011-02-18,1,a
2011-02-21,11,c
2011-02-24,1,a
2011-02-27,3,a
2011-03-10,3,i
2011-03-11,2,i
2011-03-14,1,a
2011-04-05,8,e
2011-04-06,2,e
2011-04-08,9,e
2011-04-09,1,e
2011-04-10,1,e
2011-04-15,1,g
2011-04-16,2,g
2011-04-17,5,g
2011-04-18,1,g
2011-04-19,2,g
2011-04-22,1,a
2011-04-23,1,a
2011-04-27,1,a
2011-04-28,1,a
2011-04-29,2,a
2011-04-30,1,a
2011-05-03,1,a
2011-05-05,1,a
2011-05-15,1,a
2011-05-22,1,a
2011-05-23,1,a
2011-05-26,1,a
2011-06-09,1,a
2011-06-12,1,a
2011-06-13,1,a
2011-06-16,1,a
2011-07-03,1,a
2011-07-05,1,a
2011-07-10,7,h
2011-07-11,2,h
2011-07-12,5,h
2011-07-13,9,h
2011-07-14,6,h
2011-07-15,1,h
2011-07-17,2,a
2011-07-18,2,a
2011-07-20,2,a
2011-07-21,1,a
2011-07-22,1,a
2011-07-23,1,a
2011-07-24,1,a
2011-07-25,1,a
2011-07-28,1,a
2011-07-30,1,a
2011-08-01,1,a
2011-08-02,2,a
2011-08-03,1,a
2011-08-05,1,a
2011-08-08,1,a
2011-08-11,1,a
2011-08-15,1,a
2011-08-21,1,a
