Label	Modularity Class	PageRank	Authority	Hub
Diego-Gomes-1	6	0.002202827104264629	0.0021528525	0.0021528525
Edwin-Chen-1	0	0.04119940088500404	0.033369213	0.033369213
Lekan-Wang	6	0.0030390497524072965	0.0032292788	0.0032292788
Cinjon-Resnick	0	0.005191690577301094	0.004305705	0.004305705
Paul-Wais	6	0.004237860144965157	0.004305705	0.004305705
Jon-Rodriguez	6	0.026250808209946488	0.026910657	0.026910657
Tudor-Achim	6	0.02053179804146202	0.020452099	0.020452099
Nate-Flink	6	0.003039746285135796	0.0032292788	0.0032292788
Ian-MacLeod	6	0.004046185035187003	0.004305705	0.004305705
Stephen-Turner	7	0.004296208340163293	0.0032292788	0.0032292788
Amal-Dorai	6	0.004849171153537033	0.0053821313	0.0053821313
Jean-Michel-Grimaldi	1	0.0013544018481183673	0.0	0.0
Dan-Kaplan	6	0.010181740867540515	0.011840689	0.011840689
Rohit-Dholakia	12	0.007015565630540896	0.0064585577	0.0064585577
Brad-Silverman	6	0.011019597606493391	0.011840689	0.011840689
Sjoerd-Lagarde	6	0.002345143055973253	0.0021528525	0.0021528525
Bob-Hancock	2	0.0013544018481183673	0.0	0.0
Achilleas-Vortselas	6	0.016720059634829084	0.019375673	0.019375673
Ohad-Assulin	3	0.0013544018481183673	0.0	0.0
Andrew-Badr	4	0.003945477194668095	0.0032292788	0.0032292788
Robert-Bronaugh	4	0.0040132372217805395	0.0032292788	0.0032292788
Tracy-Chou	6	0.03665652994720903	0.03982777	0.03982777
Stephan-Orme	6	0.004108043980542861	0.004305705	0.004305705
Kah-Seng-Tay	6	0.016277311321960097	0.019375673	0.019375673
Christopher-Lin	6	0.018891592319097584	0.021528525	0.021528525
Sarp-Centel	8	0.007548590919035837	0.007534984	0.007534984
Paul-Sawaya	8	0.009106807839587375	0.009687836	0.009687836
Cameron-A.-Ellis	6	0.00904463523476243	0.010764263	0.010764263
Chris-Sattinger	5	0.0013544018481183673	0.0	0.0
Akhil-Ravidas	8	0.006194190578502774	0.0064585577	0.0064585577
Alina-Libova	6	0.0023218123906092883	0.0021528525	0.0021528525
Siqi-Chen	6	0.011384077573455881	0.011840689	0.011840689
Ian-Hook	6	0.0022836246291388753	0.0021528525	0.0021528525
Jamie-Beckland	6	0.011669919612866377	0.013993542	0.013993542
Gabriel-Czerwonka	6	0.013992880622726935	0.016146393	0.016146393
Matej-Pangerc	6	0.0031216206009978603	0.0032292788	0.0032292788
Varun-Khaneja	6	0.0048623100967616	0.0053821313	0.0053821313
Thomas-Jones	6	0.004045942404886137	0.004305705	0.004305705
Khader-Shameer	7	0.004160975529377276	0.0032292788	0.0032292788
Alex-Kamil	12	0.0265686707366761	0.02583423	0.02583423
Matt-Biddulph	8	0.006690986785348489	0.0064585577	0.0064585577
Varun-Gulshan	9	0.0013544018481183673	0.0	0.0
Drazen-Zaric	12	0.003574939907416636	0.0032292788	0.0032292788
Hector-Yee	6	0.005769370543692579	0.0064585577	0.0064585577
Gustav-Meeuwenflatser	6	0.01166538357154532	0.011840689	0.011840689
Haricharan-Vijayaraghavan	6	0.012723358962717554	0.015069968	0.015069968
Lee-Becker	10	0.0013544018481183673	0.0	0.0
Rob-Leathern	6	0.004012286059674003	0.004305705	0.004305705
Ludi-Rehak	6	0.028409465891952344	0.033369213	0.033369213
Aaron-Chiu	6	0.009794775832136499	0.011840689	0.011840689
Neville-Fogarty	6	0.023567116540955616	0.027987083	0.027987083
Venkatesh-Rao	6	0.03536564942523517	0.03767492	0.03767492
Jason-Yun	6	0.006524725599658323	0.007534984	0.007534984
Matt-Hastie	6	0.005633528464979725	0.0064585577	0.0064585577
Chad-Little	6	0.008648753804389524	0.009687836	0.009687836
Ani-Ravi	6	0.019708115419355417	0.023681378	0.023681378
Richard-Jones	8	0.008300945811169016	0.00861141	0.00861141
Gregory-Begelman	11	0.0013544018481183673	0.0	0.0
Johnathan-Lyon	6	0.0022836246291388753	0.0021528525	0.0021528525
Ryan-Cox	12	0.004576483275704295	0.004305705	0.004305705
Maisy-Samuelson	6	0.0021942442456172172	0.0021528525	0.0021528525
Christian-Langreiter	12	0.008971212369844616	0.00861141	0.00861141
Olivier-Grisel	12	0.015886010457585524	0.013993542	0.013993542
Joseph-Turian	12	0.021847441499504638	0.019375673	0.019375673
Shalin-Shekhar-Mangar	12	0.004714485591452533	0.004305705	0.004305705
Nikete-Della-Penna	12	0.007909496205276216	0.007534984	0.007534984
Joel-Boehland	12	0.0067689456423645775	0.0064585577	0.0064585577
Roland-Kofler	12	0.0065098755530442155	0.0064585577	0.0064585577
Chung-Wu	6	0.0030683263094058934	0.0032292788	0.0032292788
Hao-Wooi-Lim	12	0.00248136893021325	0.0021528525	0.0021528525
Joey-Ranzenbach	13	0.0013544018481183673	0.0	0.0
Yan-Li	0	0.0025239356836776307	0.0021528525	0.0021528525
Paul-Tepper	14	0.0013544018481183673	0.0	0.0
Steven-Baehr	0	0.0025239356836776307	0.0021528525	0.0021528525
Vipul-Pandey	15	0.0013544018481183673	0.0	0.0
Sasha-Katsnelson	6	0.006508902617897392	0.007534984	0.007534984
Peter-Alderson	16	0.0013544018481183673	0.0	0.0
Lyle-Pratt	17	0.0013544018481183673	0.0	0.0
Zhitong-He	18	0.0013544018481183673	0.0	0.0
Shahid-Khan	19	0.0013544018481183673	0.0	0.0
Deonna-Hodges	20	0.0013544018481183673	0.0	0.0
Harsh-Pareek	12	0.006958797102230984	0.007534984	0.007534984
Sundeep-Yedida	6	0.009400261447376762	0.010764263	0.010764263
Scott-Leishman	21	0.0013544018481183673	0.0	0.0
Lavanya-Tekumalla	22	0.0013544018481183673	0.0	0.0
Aditya-Sengupta	6	0.015701350593593528	0.018299246	0.018299246
Ellie-Kesselman	23	0.009170877155613584	0.009687836	0.009687836
Arik-Beremzon	6	0.00972289686841825	0.010764263	0.010764263
A-J-Juliani	6	0.006625826400227082	0.007534984	0.007534984
Edwin-Khoo	6	0.02191982797826741	0.02583423	0.02583423
Marc-Bodnick	6	0.044470458903003565	0.04951561	0.04951561
Sundeep-Kumar	6	0.005471848706985207	0.0064585577	0.0064585577
